timestamp,training_end,threshold_selected_pre_event,predicted_probability,predicted_class,actual_future_6h_rain,actual_target,predicted_amount_mm
2021-11-17 18:00:00,2021-10-31 23:00:00,0.95,0.001124053728,0,16.5,0,4.441268921
2021-11-17 19:00:00,2021-10-31 23:00:00,0.95,0.001532145659,0,21.9,1,6.785149574
2021-11-17 20:00:00,2021-10-31 23:00:00,0.95,0.001634747488,0,25.9,1,4.499273777
2021-11-17 21:00:00,2021-10-31 23:00:00,0.95,0.0005770758144,0,27.4,1,3.082074165
2021-11-17 22:00:00,2021-10-31 23:00:00,0.95,0.001623828779,0,26.5,1,5.418110371
2021-11-17 23:00:00,2021-10-31 23:00:00,0.95,0.1589587331,0,22.9,1,9.402190208
2021-11-18 00:00:00,2021-10-31 23:00:00,0.95,0.3679245412,0,17.4,0,10.46989918
2021-11-18 01:00:00,2021-10-31 23:00:00,0.95,0.2624064684,0,13,0,15.54265308
2021-11-18 02:00:00,2021-10-31 23:00:00,0.95,0.391156584,0,9.7,0,16.4010849
2021-11-18 03:00:00,2021-10-31 23:00:00,0.95,0.166058749,0,12.2,0,17.76079559
2021-11-18 04:00:00,2021-10-31 23:00:00,0.95,0.7102159262,0,15.5,0,17.48169518
2021-11-18 05:00:00,2021-10-31 23:00:00,0.95,0.7474468946,0,17.7,0,16.12651443
2021-11-18 06:00:00,2021-10-31 23:00:00,0.95,0.8966507316,0,16.8,0,19.22940063
2021-11-18 07:00:00,2021-10-31 23:00:00,0.95,0.9365631342,0,18.4,0,17.78754807
2021-11-18 08:00:00,2021-10-31 23:00:00,0.95,0.7431511879,0,22.5,1,13.99541283
2021-11-18 09:00:00,2021-10-31 23:00:00,0.95,0.7890442014,0,21.6,1,20.67278099
2021-11-18 10:00:00,2021-10-31 23:00:00,0.95,0.9624862075,1,19.3,0,20.73491859
2021-11-18 11:00:00,2021-10-31 23:00:00,0.95,0.9163278937,0,16.9,0,23.09268951
2021-11-18 12:00:00,2021-10-31 23:00:00,0.95,0.9702858329,1,15.4,0,15.22960186
2021-11-18 13:00:00,2021-10-31 23:00:00,0.95,0.9232314229,0,12.9,0,24.1190815
2021-11-18 14:00:00,2021-10-31 23:00:00,0.95,0.9931968451,1,10.3,0,27.85032463
2021-11-18 15:00:00,2021-10-31 23:00:00,0.95,0.9810934663,1,7.4,0,24.17491722
2021-11-18 16:00:00,2021-10-31 23:00:00,0.95,0.9513512254,1,5.1,0,20.14624023
2021-11-18 17:00:00,2021-10-31 23:00:00,0.95,0.8706600666,0,4.7,0,9.589501381
2021-11-18 18:00:00,2021-10-31 23:00:00,0.95,0.8975257874,0,3.9,0,12.87415409
2021-11-18 19:00:00,2021-10-31 23:00:00,0.95,0.5569645762,0,3.6,0,6.510424614
2021-11-18 20:00:00,2021-10-31 23:00:00,0.95,0.08164963126,0,4.3,0,8.73238945
2021-11-18 21:00:00,2021-10-31 23:00:00,0.95,0.1011107489,0,4.9,0,5.395153522
2021-11-18 22:00:00,2021-10-31 23:00:00,0.95,0.01574488916,0,4.8,0,3.849189758
2021-11-18 23:00:00,2021-10-31 23:00:00,0.95,0.002573136007,0,4.7,0,4.70945406
2021-11-19 00:00:00,2021-10-31 23:00:00,0.95,0.003668805351,0,4.5,0,3.787536621
2021-11-19 01:00:00,2021-10-31 23:00:00,0.95,0.0001443641668,0,4.4,0,3.64447403
2021-11-19 02:00:00,2021-10-31 23:00:00,0.95,0.002397442469,0,1.2,0,15.92054653
2021-11-19 03:00:00,2021-10-31 23:00:00,0.95,0.05356443673,0,0.3,0,10.58274269
2021-11-19 04:00:00,2021-10-31 23:00:00,0.95,0.0040855892,0,0.2,0,7.109597206
2021-11-19 05:00:00,2021-10-31 23:00:00,0.95,0.03276509047,0,0.1,0,6.113076687
2021-11-19 06:00:00,2021-10-31 23:00:00,0.95,0.001330974512,0,0,0,3.773284197
2021-11-19 07:00:00,2021-10-31 23:00:00,0.95,0.002034977777,0,0,0,1.525915384
2021-11-19 08:00:00,2021-10-31 23:00:00,0.95,0.000105631334,0,0.1,0,2.9664042
2021-11-19 09:00:00,2021-10-31 23:00:00,0.95,0.0001113107865,0,0.1,0,1.843693733
2021-11-19 10:00:00,2021-10-31 23:00:00,0.95,7.388406812e-05,0,0.1,0,2.000506163
2021-11-19 11:00:00,2021-10-31 23:00:00,0.95,6.860430585e-05,0,0.1,0,1.85598433
2021-11-19 12:00:00,2021-10-31 23:00:00,0.95,2.628319453e-05,0,0.7,0,1.16054213
2021-11-19 13:00:00,2021-10-31 23:00:00,0.95,0.000380551297,0,1.4,0,1.272485375
2021-11-19 14:00:00,2021-10-31 23:00:00,0.95,0.000460608775,0,1.6,0,1.33146441
2021-11-19 15:00:00,2021-10-31 23:00:00,0.95,3.403377195e-05,0,2.4,0,0.7378960848
2021-11-19 16:00:00,2021-10-31 23:00:00,0.95,0.0001795846474,0,2.8,0,1.277843595
2021-11-19 17:00:00,2021-10-31 23:00:00,0.95,0.0001162667249,0,3.1,0,1.431172252
